2026/04/21 20:09:23 🔒 安全配置: 连接限制=10/s, 消息限制=20/s, 聊天限制=1/s, 最大连接数=10000
2026/04/21 20:09:23 🎮 斗地主服务器启动中...
2026/04/21 20:09:23 🚀 服务器启动在 ws://0.0.0.0:1780/ws (CPU核心数: 8)
2026/04/21 20:32:29 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:32:59 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:33:28 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:33:57 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:34:26 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:34:55 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:35:24 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:35:53 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:36:22 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:36:51 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:37:19 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:37:48 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:38:17 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:38:46 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:39:15 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:39:45 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:40:13 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:40:42 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:41:10 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:41:39 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:42:08 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:42:36 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:43:05 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:43:34 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:44:02 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:44:31 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:45:00 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:45:28 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:45:58 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:46:26 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:46:55 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:47:24 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:47:52 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:48:21 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:48:50 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:49:18 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:49:47 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:50:17 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:50:45 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:51:14 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:51:43 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:52:11 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:52:40 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:53:08 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:53:37 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:54:06 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:54:34 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:55:03 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:55:31 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:56:00 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:56:29 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:56:59 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:57:27 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:57:56 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:58:24 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:58:53 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:59:22 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:59:50 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:00:19 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:00:47 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:01:16 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:01:44 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:02:13 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:02:42 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:03:10 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:03:40 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:04:09 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:04:37 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:05:06 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:05:34 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:06:03 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:06:31 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:07:00 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:07:28 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:07:57 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:08:26 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:08:54 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:09:23 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:09:51 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:10:21 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:10:50 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:11:18 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:11:47 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:12:15 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:12:44 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:13:12 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:13:41 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:14:10 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:14:38 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:15:06 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:15:35 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:16:03 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:16:32 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:17:01 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:17:31 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:17:59 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:18:27 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:18:56 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:19:25 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:19:53 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:20:22 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:20:50 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:21:18 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:21:47 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:22:15 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:22:44 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:23:13 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:23:41 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:24:11 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:24:39 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:25:08 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:25:36 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:26:05 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:26:33 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:27:02 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:27:30 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:27:59 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:28:27 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:28:56 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:29:24 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:29:53 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:30:21 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:30:51 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:31:20 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:31:48 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:32:17 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
